日付,場所,R,着順,枠番,馬番,人気順,馬名,オッズ
2015年8月9日（日）,札幌,6,4,8,11,ツーエムマイスター,4,6.5
2015年8月9日（日）,札幌,6,5,5,6,ハクサンフレンチ,7,13.5
2015年8月9日（日）,札幌,6,6,3,3,ボストンビリーヴ,10,32.0
2015年8月9日（日）,札幌,6,7,5,5,コパノチャールズ,6,10.3
2015年8月9日（日）,札幌,6,8,2,2,ビバワールド,8,20.2
2015年8月9日（日）,札幌,6,9,4,4,ウエスタンラムール,3,4.8
2015年8月9日（日）,札幌,6,10,1,1,ストームジャガー,1,4.2
2015年8月9日（日）,札幌,6,11,6,8,ユキノマルガリータ,11,36.7
2015年8月9日（日）,札幌,6,12,6,7,プレシャスベガ,12,70.3
2015年8月9日（日）,札幌,7,1,1,2,サザンライツ,3,6.7
2015年8月9日（日）,札幌,7,2,8,15,アルティマブラッド,4,7.6
2015年8月9日（日）,札幌,7,3,2,4,エクシードリミッツ,2,6.0
2015年8月9日（日）,札幌,7,4,6,11,カレンステイシー,1,3.2
2015年8月9日（日）,札幌,7,5,1,1,ウエスタンユーノー,6,9.5
2015年8月9日（日）,札幌,7,6,7,13,サクラヴィオーラ,11,58.0
2015年8月9日（日）,札幌,7,7,5,10,ハッシュ,5,8.9
2015年8月9日（日）,札幌,7,8,3,5,アルトゥーナ,14,85.1
2015年8月9日（日）,札幌,7,9,7,14,コスモドーム,7,10.8
2015年8月9日（日）,札幌,7,10,2,3,ツクバインパクト,9,23.5
2015年8月9日（日）,札幌,7,11,4,7,カイマノア,8,19.6
2015年8月9日（日）,札幌,7,12,4,8,ステイブレイズ,13,71.2
2015年8月9日（日）,札幌,7,13,8,16,ビービーブレイン,15,106.8
2015年8月9日（日）,札幌,7,14,3,6,サウンドマンデュロ,16,108.4
2015年8月9日（日）,札幌,7,15,5,9,アルマクレヨン,10,45.3
2015年8月9日（日）,札幌,7,16,6,12,メイショウアサツユ,12,61.3
2015年8月9日（日）,札幌,8,1,5,7,ファイトユアソング,2,4.0
2015年8月9日（日）,札幌,8,2,4,5,コウセイマユヒメ,12,77.6
2015年8月9日（日）,札幌,8,3,7,10,クイーンズターフ,1,2.0
2015年8月9日（日）,札幌,8,4,4,4,ショウナンカサロ,7,35.5
2015年8月9日（日）,札幌,8,5,3,3,エドノプリンセス,6,26.2
2015年8月9日（日）,札幌,8,6,6,9,ゴールドグローリー,5,11.0
2015年8月9日（日）,札幌,8,7,5,6,ベストセラーアスク,10,70.6
2015年8月9日（日）,札幌,8,8,8,12,オールオブユー,4,10.5
2015年8月9日（日）,札幌,8,9,8,13,タマノベレッツァ,3,6.3
2015年8月9日（日）,札幌,8,10,6,8,メテオレイン,13,153.5
2015年8月9日（日）,札幌,8,11,1,1,テラノココロ,9,39.2
2015年8月9日（日）,札幌,8,12,7,11,クロカミノオトメ,8,37.8
2015年8月9日（日）,札幌,8,13,2,2,スパイスシャワー,11,75.4
2015年8月9日（日）,札幌,9,1,7,12,プレイヤーハウス,8,17.6
2015年8月9日（日）,札幌,9,2,6,9,バスティード,6,14.3
2015年8月9日（日）,札幌,9,3,5,7,ゼットスマイル,11,35.9
2015年8月9日（日）,札幌,9,4,3,3,サブライムカイザー,2,3.6
2015年8月9日（日）,札幌,9,5,3,4,ジューヴルエール,4,8.7
2015年8月9日（日）,札幌,9,6,4,6,ボルドネス,1,2.9
2015年8月9日（日）,札幌,9,7,7,11,ミッキーポーチ,3,6.8
2015年8月9日（日）,札幌,9,8,8,14,シグナルアロー,13,98.8
2015年8月9日（日）,札幌,9,9,2,2,スズカステイボーイ,7,17.3
2015年8月9日（日）,札幌,9,10,1,1,デンコウセキトバ,5,12.6
2015年8月9日（日）,札幌,9,11,8,13,ニシノカブケ,12,74.0
2015年8月9日（日）,札幌,9,12,6,10,ミッキーボクサー,14,134.4
2015年8月9日（日）,札幌,9,13,4,5,マイネルアクロス,10,35.1
2015年8月9日（日）,札幌,9,14,5,8,スマッシュスマイル,9,33.5
2015年8月9日（日）,札幌,10,1,8,12,ダテノハクトラ,3,5.5
2015年8月9日（日）,札幌,10,2,3,3,セトノプロミス,5,8.4
2015年8月9日（日）,札幌,10,3,4,5,ハナズリベンジ,1,2.9
2015年8月9日（日）,札幌,10,4,5,6,リバーソウル,4,7.5
2015年8月9日（日）,札幌,10,5,6,9,コクリュウノマイ,6,13.6
2015年8月9日（日）,札幌,10,6,4,4,ライオンズバイツ,8,24.1
2015年8月9日（日）,札幌,10,7,1,1,メイショウホウトウ,9,24.1
2015年8月9日（日）,札幌,10,8,2,2,トゥルッリ,2,4.3
2015年8月9日（日）,札幌,10,9,6,8,ヴァリアシオン,10,33.2
2015年8月9日（日）,札幌,10,10,7,10,タプローム,11,136.4
2015年8月9日（日）,札幌,10,11,8,13,シュガーヒル,7,22.0
2015年8月9日（日）,札幌,10,12,5,7,キクタロウ,13,157.0
2015年8月9日（日）,札幌,10,13,7,11,ヒカルソラフネ,12,153.9
2015年8月9日（日）,札幌,11,1,8,12,エポワス,3,6.1
2015年8月9日（日）,札幌,11,2,8,11,ルチャドルアスール,5,8.6
2015年8月9日（日）,札幌,11,3,6,7,レッドオーヴァル,1,3.9
2015年8月9日（日）,札幌,11,4,6,8,ブランダムール,8,16.1
2015年8月9日（日）,札幌,11,5,3,3,ペイシャオブロー,11,70.3
2015年8月9日（日）,札幌,11,6,5,6,スギノエンデバー,4,7.6
2015年8月9日（日）,札幌,11,7,4,4,クリノハッチャン,12,151.3
2015年8月9日（日）,札幌,11,8,5,5,ホウライアキコ,2,4.6
2015年8月9日（日）,札幌,11,9,1,1,ネオウィズダム,6,9.7
2015年8月9日（日）,札幌,11,10,2,2,アブマーシュ,9,16.2
2015年8月9日（日）,札幌,11,11,7,10,クールホタルビ,10,22.7
2015年8月9日（日）,札幌,11,12,7,9,ファントムロード,7,12.4
2015年8月9日（日）,札幌,12,1,7,9,ホワイトエレガンス,3,5.5
2015年8月9日（日）,札幌,12,2,4,4,タガノエンブレム,2,5.5
2015年8月9日（日）,札幌,12,3,1,1,サトノフェラーリ,1,2.8
2015年8月9日（日）,札幌,12,4,8,11,サムソンズシエル,4,8.4
2015年8月9日（日）,札幌,12,5,6,7,メイショウテッサイ,6,10.4
2015年8月9日（日）,札幌,12,6,2,2,アーマークラッド,9,25.2
2015年8月9日（日）,札幌,12,7,7,10,シベリアンタイガー,8,14.3
2015年8月9日（日）,札幌,12,8,3,3,エイシンノーティス,5,8.4
2015年8月9日（日）,札幌,12,9,8,12,ナインテイルズ,7,12.5
2015年8月9日（日）,札幌,12,10,6,8,スワンボート,11,176.6
2015年8月9日（日）,札幌,12,11,5,5,ケツァルコアトル,10,107.6
2015年8月9日（日）,札幌,12,12,5,6,アルティスト,12,192.5
2015年8月15日（土）,札幌,1,1,4,5,ドゥラリュール,1,2.1
2015年8月15日（土）,札幌,1,2,3,3,ベルゼブブ,8,26.0
2015年8月15日（土）,札幌,1,3,6,8,ジュアンマリエ,2,6.2
2015年8月15日（土）,札幌,1,4,6,9,ミッテルレギ,12,118.7
2015年8月15日（土）,札幌,1,5,1,1,キタノイチジョー,6,16.4
2015年8月15日（土）,札幌,1,6,4,4,トゥールエッフェル,3,6.6
2015年8月15日（土）,札幌,1,7,8,12,ボーディングパス,7,25.2
2015年8月15日（土）,札幌,1,8,5,7,ウインプリマ,11,88.1
2015年8月15日（土）,札幌,1,9,7,11,ミラクルユニバンス,9,34.5
2015年8月15日（土）,札幌,1,10,8,13,タガノカイリ,10,63.9
2015年8月15日（土）,札幌,1,11,5,6,メイショウコボウシ,5,10.0
2015年8月15日（土）,札幌,1,12,7,10,ウインミリアルド,13,152.8
2015年8月15日（土）,札幌,1,13,2,2,グロウインザダーク,4,9.0
2015年8月15日（土）,札幌,2,1,4,5,ラブレオ,1,3.0
2015年8月15日（土）,札幌,2,2,7,11,レインボーライン,2,3.6
2015年8月15日（土）,札幌,2,3,4,6,ガンコ,5,8.8
2015年8月15日（土）,札幌,2,4,3,3,カラクプア,7,20.7
2015年8月15日（土）,札幌,2,5,8,13,ゴールドラッシュ,6,18.0
2015年8月15日（土）,札幌,2,6,1,1,ベルウッドサコン,4,7.4
2015年8月15日（土）,札幌,2,7,7,12,リキッドブルー,11,131.3
2015年8月15日（土）,札幌,2,8,5,7,メイクサムノイズ,9,35.5
2015年8月15日（土）,札幌,2,9,3,4,サトノアルカディア,8,35.0
2015年8月15日（土）,札幌,2,10,5,8,キタノカミカゼ,12,151.6
2015年8月15日（土）,札幌,2,11,6,10,カマラードミノル,13,159.3
2015年8月15日（土）,札幌,2,12,6,9,スズカボルト,3,7.2
2015年8月15日（土）,札幌,2,13,2,2,ブボナ,10,70.4
2015年8月15日（土）,札幌,2,14,8,14,ホシノパレード,14,752.6
2015年8月15日（土）,札幌,3,1,8,11,ディーエスフェイム,1,3.4
2015年8月15日（土）,札幌,3,2,5,6,カワキタキャッスル,5,8.3
2015年8月15日（土）,札幌,3,3,4,4,ポッドフィズ,3,5.9
2015年8月15日（土）,札幌,3,4,6,7,トミケンアユート,8,34.1
2015年8月15日（土）,札幌,3,5,7,10,サイレンスラヴ,9,47.8
2015年8月15日（土）,札幌,3,6,7,9,マーククロップ,4,6.0
2015年8月15日（土）,札幌,3,7,1,1,トリアンドルス,7,19.2
2015年8月15日（土）,札幌,3,8,3,3,ビップヘラクレス,6,10.2
2015年8月15日（土）,札幌,3,9,5,5,キャロライン,2,3.5
2015年8月15日（土）,札幌,3,10,6,8,トーセンプリズム,10,68.1
2015年8月15日（土）,札幌,3,11,2,2,ヴェルトフリーデン,11,99.3
2015年8月15日（土）,札幌,3,12,8,12,サクラアベニール,12,167.2
2015年8月15日（土）,札幌,4,1,6,8,モンドクラフト,2,4.0
2015年8月15日（土）,札幌,4,2,7,10,オフビートジャズ,4,6.0
2015年8月15日（土）,札幌,4,3,8,13,キクノステラ,1,3.7
2015年8月15日（土）,札幌,4,4,5,7,ヒロノドラム,6,9.1
2015年8月15日（土）,札幌,4,5,4,5,ハッピーパウダー,7,18.3
2015年8月15日（土）,札幌,4,6,5,6,ヒロノカマオレ,3,5.4
2015年8月15日（土）,札幌,4,7,4,4,アスターレジェンド,12,117.9
2015年8月15日（土）,札幌,4,8,1,1,ヴェルデプラート,11,115.3
2015年8月15日（土）,札幌,4,9,8,12,ヒットザフロアー,5,7.8
2015年8月15日（土）,札幌,4,10,2,2,メイショウブユウ,10,63.3
2015年8月15日（土）,札幌,4,11,3,3,エフティロビン,8,27.1
2015年8月15日（土）,札幌,4,12,7,11,ソラノカナタ,9,44.7
2015年8月15日（土）,札幌,4,13,6,9,ライトトップワン,13,233.9
2015年8月15日（土）,札幌,5,1,2,2,アラモアナワヒネ,6,11.0
2015年8月15日（土）,札幌,5,2,1,1,サトノサンシャイン,1,2.6
2015年8月15日（土）,札幌,5,3,6,7,スミレ,2,4.8
2015年8月15日（土）,札幌,5,4,8,11,サウンドダンサー,3,6.1
2015年8月15日（土）,札幌,5,5,7,10,レーヌドコロール,4,8.0
2015年8月15日（土）,札幌,5,6,8,12,ポッドガゼール,7,14.9
2015年8月15日（土）,札幌,5,7,5,6,ルーレットクイーン,9,88.4
2015年8月15日（土）,札幌,5,8,7,9,メイショウボーテ,5,8.6
2015年8月15日（土）,札幌,5,9,3,3,エクラパール,8,46.2
2015年8月15日（土）,札幌,5,10,5,5,ヤマノスプリンター,11,143.6
2015年8月15日（土）,札幌,5,11,6,8,コンサバ,10,93.2
2015年8月15日（土）,札幌,5,0,4,4,グラスアンジェラ,12,283.6
2015年8月15日（土）,札幌,6,1,1,1,ララエクラテール,1,3.6
2015年8月15日（土）,札幌,6,2,3,3,ウィスパーノット,8,18.3
2015年8月15日（土）,札幌,6,3,3,4,ハギノパトリオット,5,9.3
2015年8月15日（土）,札幌,6,4,2,2,ガニメード,10,29.9
2015年8月15日（土）,札幌,6,5,8,13,マイネルフレッチャ,4,8.6
2015年8月15日（土）,札幌,6,6,7,11,ウインアーマー,2,4.4
2015年8月15日（土）,札幌,6,7,4,5,ニシノインシュアラ,7,14.3
2015年8月15日（土）,札幌,6,8,5,8,ハッスルカフェ,11,49.1
2015年8月15日（土）,札幌,6,9,5,7,ナンヨーピューピル,9,21.2
2015年8月15日（土）,札幌,6,10,8,14,レディルー,6,10.5
2015年8月15日（土）,札幌,6,11,6,9,ライブリファースト,13,113.7
2015年8月15日（土）,札幌,6,12,7,12,ダノンウルフ,3,5.5
2015年8月15日（土）,札幌,6,13,6,10,ニホンピロピース,14,186.6
2015年8月15日（土）,札幌,6,14,4,6,インテグラル,12,78.4
2015年8月15日（土）,札幌,7,1,4,5,オーシャンブルグ,4,6.8
2015年8月15日（土）,札幌,7,2,8,12,ココ,1,2.5
2015年8月15日（土）,札幌,7,3,7,11,ビスカリア,12,42.1
2015年8月15日（土）,札幌,7,4,2,2,ガロファノ,3,5.6
2015年8月15日（土）,札幌,7,5,8,13,マダムウルル,11,40.7
2015年8月15日（土）,札幌,7,6,7,10,オールオブナイト,5,14.0
2015年8月15日（土）,札幌,7,7,6,9,ガラドリエル,8,30.6
2015年8月15日（土）,札幌,7,8,1,1,バイレ,7,27.5
2015年8月15日（土）,札幌,7,9,6,8,レディゴーラウンド,10,34.2
2015年8月15日（土）,札幌,7,10,4,4,マハロマナ,2,4.2
2015年8月15日（土）,札幌,7,11,5,7,エクレール,6,19.4
2015年8月15日（土）,札幌,7,12,3,3,トーセンシルエット,9,33.7
2015年8月15日（土）,札幌,7,13,5,6,クィーンオブシバ,13,233.6
2015年8月15日（土）,札幌,8,1,5,10,サンシカゴ,3,4.2
2015年8月15日（土）,札幌,8,2,4,7,ハギノナトゥーラ,5,11.5
2015年8月15日（土）,札幌,8,3,7,13,ハプスブルク,9,23.3
2015年8月15日（土）,札幌,8,4,3,5,マイネシーア,1,3.4
2015年8月15日（土）,札幌,8,5,1,2,イキオイ,4,10.5
2015年8月15日（土）,札幌,8,6,3,6,マカゼコイカゼ,8,23.2
2015年8月15日（土）,札幌,8,7,8,16,ウォーターラボ,2,3.8
2015年8月15日（土）,札幌,8,8,2,3,フィボナッチ,11,45.0
2015年8月15日（土）,札幌,8,9,4,8,プリズム,7,22.2
2015年8月15日（土）,札幌,8,10,8,15,エムオーマジック,16,326.6
2015年8月15日（土）,札幌,8,11,6,12,ユアメモリー,13,107.8
2015年8月15日（土）,札幌,8,12,7,14,クラウンノキミ,6,16.0
2015年8月15日（土）,札幌,8,13,5,9,クラウンテイラー,12,101.1
2015年8月15日（土）,札幌,8,14,2,4,ブリッツカイザー,14,124.2
2015年8月15日（土）,札幌,8,15,6,11,デンコウウノ,10,28.1
2015年8月15日（土）,札幌,8,16,1,1,ホレミンサイヤ,15,170.2
2015年8月15日（土）,札幌,9,1,4,5,モンドクラッセ,1,1.7
2015年8月15日（土）,札幌,9,2,8,13,タマモネイヴィー,3,6.4
2015年8月15日（土）,札幌,9,3,6,8,シーリーヴェール,2,3.5
2015年8月15日（土）,札幌,9,4,6,9,ピアシングステア,6,31.5
2015年8月15日（土）,札幌,9,5,2,2,パッシングブリーズ,4,14.9
2015年8月15日（土）,札幌,9,6,1,1,コスモラヴモア,8,35.5
2015年8月15日（土）,札幌,9,7,7,11,ナスノアオバ,7,33.4
2015年8月15日（土）,札幌,9,8,5,6,オンワードハンター,5,30.9
2015年8月15日（土）,札幌,9,9,4,4,アイリッシュハープ,10,108.0
2015年8月15日（土）,札幌,9,10,8,12,コンプリートゲーム,11,165.2
2015年8月15日（土）,札幌,9,11,7,10,サフランスター,12,217.7
2015年8月15日（土）,札幌,9,12,5,7,マイフリヴァ,9,36.8
2015年8月15日（土）,札幌,9,13,3,3,デルマジャイアン,13,290.2
2015年8月15日（土）,札幌,10,1,5,7,ラヴアンドポップ,7,15.8
2015年8月15日（土）,札幌,10,2,5,6,マイネルサグラ,2,5.3
2015年8月15日（土）,札幌,10,3,6,8,シャクンタラー,1,2.5
2015年8月15日（土）,札幌,10,4,3,3,クロコスミア,3,7.0
2015年8月15日（土）,札幌,10,5,6,9,グローリーミスト,5,9.8
2015年8月15日（土）,札幌,10,6,2,2,ネコダンサー,4,7.7
2015年8月15日（土）,札幌,10,7,8,12,ゲッカコウ,8,24.2
2015年8月15日（土）,札幌,10,8,7,11,ミトノグラス,10,103.2
2015年8月15日（土）,札幌,10,9,4,5,トッケンドーナ,13,183.3
2015年8月15日（土）,札幌,10,10,4,4,コパノディール,11,108.8
2015年8月15日（土）,札幌,10,11,1,1,ラプレシオーサ,6,11.9
2015年8月15日（土）,札幌,10,12,7,10,タービランス,9,81.3
2015年8月15日（土）,札幌,10,13,8,13,ロンリーウーマン,12,145.8
2015年8月15日（土）,札幌,11,1,2,2,ダンツキャンサー,3,5.6
2015年8月15日（土）,札幌,11,2,4,5,アドマイヤサブリナ,10,30.9
2015年8月15日（土）,札幌,11,3,3,4,イッテツ,4,8.9
2015年8月15日（土）,札幌,11,4,6,9,ミッキーユニバース,1,2.8
2015年8月15日（土）,札幌,11,5,5,8,マイネルアウラート,6,11.1
2015年8月15日（土）,札幌,11,6,7,12,アドマイヤビジン,9,28.6
2015年8月15日（土）,札幌,11,7,4,6,エデンロック,2,4.7
2015年8月15日（土）,札幌,11,8,1,1,ダンツミュータント,5,10.3
2015年8月15日（土）,札幌,11,9,7,11,アルトゥーナ,11,76.7
2015年8月15日（土）,札幌,11,10,3,3,ピッツネイル,14,264.8
2015年8月15日（土）,札幌,11,11,6,10,バンザイ,8,22.4
2015年8月15日（土）,札幌,11,12,5,7,ジェットコルサ,7,13.2
2015年8月15日（土）,札幌,11,13,8,14,アサケゴマ,12,147.3
2015年8月15日（土）,札幌,11,14,8,13,ヴァレンティーネ,13,231.2
2015年8月15日（土）,札幌,12,1,6,9,カウニスクッカ,8,36.5
2015年8月15日（土）,札幌,12,2,1,1,サンライズジャパン,2,3.4
2015年8月15日（土）,札幌,12,3,4,5,ストリートオベロン,3,4.7
2015年8月15日（土）,札幌,12,4,5,6,ローハイド,1,2.5
2015年8月15日（土）,札幌,12,5,5,7,スペランツァデーア,4,13.9
2015年8月15日（土）,札幌,12,6,7,10,ドリームチェイサー,5,14.2
2015年8月15日（土）,札幌,12,7,2,2,ベルウッドケルン,13,193.4
2015年8月15日（土）,札幌,12,8,3,3,ステイブレイズ,10,62.4
2015年8月15日（土）,札幌,12,9,7,11,ジェイケイネオ,7,19.4
2015年8月15日（土）,札幌,12,10,8,12,マンディスキュア,12,69.9
2015年8月15日（土）,札幌,12,11,6,8,ヴィンセンツイヤー,11,67.0
2015年8月15日（土）,札幌,12,12,8,13,ウイングジャパン,9,42.4
2015年8月15日（土）,札幌,12,13,4,4,ローレルトルネード,6,15.2
